id;groupid;x;lny;gr1;gr2;gr3
1;3;0;1;0;0;1
2;2;0;1;0;1;0
3;0;0;1;0;0;0
4;1;1;2;1;0;0
5;1;0;1;1;0;0
6;3;2;3;0;0;1
7;0;-2;0;0;0;0
8;1;1;2;1;0;0
9;0;0;1;0;0;0
10;0;0;1;0;0;0
11;1;0;1;1;0;0
12;0;-1;0;0;0;0
13;2;0;1;0;1;0
14;0;-1;1;0;0;0
15;3;-1;1;0;0;1
16;1;0;1;1;0;0
17;3;0;2;0;0;1
18;3;0;1;0;0;1
19;3;1;2;0;0;1
20;1;2;3;1;0;0
21;1;0;0;1;0;0
22;2;-2;-1;0;1;0
23;2;1;2;0;1;0
24;1;-1;0;1;0;0
25;2;-1;0;0;1;0
26;2;1;2;0;1;0
27;0;0;1;0;0;0
28;0;-1;0;0;0;0
29;3;0;2;0;0;1
30;3;0;1;0;0;1
31;1;0;1;1;0;0
32;1;0;1;1;0;0
33;2;0;1;0;1;0
34;2;1;2;0;1;0
35;3;0;1;0;0;1
36;0;0;1;0;0;0
37;2;1;2;0;1;0
38;3;0;2;0;0;1
39;3;0;1;0;0;1
40;3;1;2;0;0;1
41;3;1;3;0;0;1
42;0;1;1;0;0;0
43;0;0;1;0;0;0
44;3;-1;0;0;0;1
45;3;1;3;0;0;1
46;3;-1;1;0;0;1
47;3;2;4;0;0;1
48;0;2;2;0;0;0
49;3;0;1;0;0;1
50;1;-1;0;1;0;0
51;3;-1;1;0;0;1
52;0;0;2;0;0;0
53;2;0;1;0;1;0
54;3;0;1;0;0;1
55;0;-1;0;0;0;0
56;3;0;1;0;0;1
57;3;-1;0;0;0;1
58;2;-2;-1;0;1;0
59;1;0;1;1;0;0
60;3;1;3;0;0;1
61;2;-1;1;0;1;0
62;3;1;2;0;0;1
63;0;-2;0;0;0;0
64;3;0;1;0;0;1
65;2;1;1;0;1;0
66;0;0;2;0;0;0
67;2;0;1;0;1;0
68;2;-1;0;0;1;0
69;2;-1;0;0;1;0
70;0;-1;0;0;0;0
71;2;0;1;0;1;0
72;2;-1;0;0;1;0
73;2;0;0;0;1;0
74;3;0;1;0;0;1
75;0;2;3;0;0;0
76;3;-1;1;0;0;1
77;0;0;1;0;0;0
78;0;0;1;0;0;0
79;3;-1;1;0;0;1
80;3;0;1;0;0;1
81;3;1;3;0;0;1
82;2;0;1;0;1;0
83;0;0;1;0;0;0
84;2;0;1;0;1;0
85;3;-2;-1;0;0;1
86;0;1;2;0;0;0
87;1;-1;-1;1;0;0
88;1;1;2;1;0;0
89;1;2;3;1;0;0
90;3;-1;0;0;0;1
91;3;1;2;0;0;1
92;2;0;1;0;1;0
93;3;-2;0;0;0;1
94;2;-2;-1;0;1;0
95;3;-2;0;0;0;1
96;3;-1;0;0;0;1
97;2;-1;0;0;1;0
98;3;1;1;0;0;1
99;0;2;3;0;0;0
100;0;-1;0;0;0;0
